"ID","Title","President"
"11438","Prescribing procedures governing interdepartmental cash awards to the members of the Armed Forces","36 - Lyndon B. Johnson"
"11485","Supervision and control of the National Guard of the District of Columbia","37 - Richard Nixon"
"11490","Assigning Emergency Preparedness Functions to Federal Departments and Agencies","37 - Richard Nixon"
"11503","EXCUSING FEDERAL EMPLOYEES FROM DUTY ON DECEMBER 26, 1969","37 - Richard Nixon"
"11512","PLANNING, ACQUISITION, AND MANAGEMENT OF FEDERAL SPACE","37 - Richard Nixon"
"11545","Establishing the Defense Distinguished Service Medal","37 - Richard Nixon"
"11564","Transfer of certain programs and activities to the Secretary of Commerce","37 - Richard Nixon"
"11566","Consumer product information","37 - Richard Nixon"
"11578","Establishment of the Ohio River Basin Commission","37 - Richard Nixon"
"11609","Delegating certain functions vested in the President to other officers of the Government","37 - Richard Nixon"
"11628","Establishing a seal for the Environmental Protection Agency","37 - Richard Nixon"
"11652","Classification and Declassification of National Security Information and Material","37 - Richard Nixon"
"11700","Providing for the Closing of Government Departments and Agencies on Thursday, January 23, 1973","37 - Richard Nixon"
"11735","Assignment of functions under section 311 of the Federal Water Pollution Control Act, as amended","37 - Richard Nixon"
"11736","Amending Executive Order No. 11708, [FN1] Placing Certain Positions in Levels IV and V of the Executive Schedule","37 - Richard Nixon"
"11738","Providing for administration of the Clean Air Act and the Federal Water Pollution Control Act with respect to Federal contracts, grants, or loans","37 - Richard Nixon"
"11742","Delegating to the Secretary of State certain functions with respect to the negotiation of international agreements relating to the enhancement of the environment","37 - Richard Nixon"
"11814","Activation of the Energy Resources Council","38 - Gerald R. Ford"
"11819","Membership of the Energy Resources Council","38 - Gerald R. Ford"
"11827","Continuance of Certain Federal Advisory Committees","38 - Gerald R. Ford"
"11830","Enlarging the Membership of the Interagency Committee on Handicapped Employees","38 - Gerald R. Ford"
"11839","Amending the Civil Service Rules to Except Certains Positions in Regional Offices from the Career Service","38 - Gerald R. Ford"
"11855","Membership of the Energy Resources Council","38 - Gerald R. Ford"
"11856","Amending the Civil Service Rules to Except Certain Positions From the Career Service","38 - Gerald R. Ford"
"11861","Placing Certain Positions in Levels IV and V of the Executive Schedule","38 - Gerald R. Ford"
"11870","Environmental Safeguards on Activities for Animal Damage Control on Federal Lands","38 - Gerald R. Ford"
"11877","Amending Executive Order No. 11861, as Amended, Placing Certain Positions in Levels IV and V of the Executive Schedule","38 - Gerald R. Ford"
"11885","Amending Executive Order No. 11861, as Amended, Placing Certain Positions in Levels IV and V of the Executive Schedule","38 - Gerald R. Ford"
"11891","Providing for the Closing of Government Departments and Agencies on Friday, December 26, 1975","38 - Gerald R. Ford"
"11892","Amending Executive Order No. 11647 [FN1] Relating to Federal Regional Councils","38 - Gerald R. Ford"
"11896","Establishing the United States Sinai Support Mission","38 - Gerald R. Ford"
"11904","Establishing the Defense Superior Service Medal","38 - Gerald R. Ford"
"11905","United States Foreign Intelligence Activities","38 - Gerald R. Ford"
"11911","Preservation of Endangered Species","38 - Gerald R. Ford"
"11917","Amending Executive Order No. 11643 of February 8, 1972, Relating to Environmental Safeguards on Activities for Animal Damage Control on Federal Lands","38 - Gerald R. Ford"
"11918","Compensation for damages involving nuclear reactors of United States warships","38 - Gerald R. Ford"
"11921","Adjusting Emergency Preparedness Assignments to Organizational and Functional Changes in Federal Departments and Agencies","38 - Gerald R. Ford"
"11930","Performance by the Federal Energy Office of Energy Functions of the Federal Energy Administration","38 - Gerald R. Ford"
"11939","Basic Allowances for Quarters","38 - Gerald R. Ford"
"11948","Continuance of Certain Federal Advisory Committees","38 - Gerald R. Ford"
"11950","Conforming the Central Intelligence Agency and Civil Service Retirement and Disability Systems with respect to cost of living adjustments","38 - Gerald R. Ford"
"11953","Emergency Preparedness Functions","38 - Gerald R. Ford"
"11955","Permitting certain qualified employees of the National Aeronautics and Space Administration to be given career or career-conditional appointment","38 - Gerald R. Ford"
"11958","Administration of arms export controls","38 - Gerald R. Ford"
"11959","Administration of Foreign Assistance and Related Functions","38 - Gerald R. Ford"
"11976","Executive Schedule","39 - Jimmy Carter"
"11986","Executive Schedule","39 - Jimmy Carter"
"11998","President's Commission on Military Compensation -","39 - Jimmy Carter"
"12009","Department of Energy","39 - Jimmy Carter"
"12025","Executive Schedule","39 - Jimmy Carter"
"12026","Energy Department Employees","39 - Jimmy Carter"
"12038","Department of Energy","39 - Jimmy Carter"
"12046","Telecommunications Functions","39 - Jimmy Carter"
"12049","Defense Economic Adjustment Programs","39 - Jimmy Carter"
"12058","Nuclear Non-Proliferation","39 - Jimmy Carter"
"12062","President's Commission on the Coal Industry","39 - Jimmy Carter"
"12063","United States Court of Military Appeals Nominating Commission","39 - Jimmy Carter"
"12065","National Security Information","39 - Jimmy Carter"
"12075","Interagency Coordinating Council","39 - Jimmy Carter"
"12076","Executive Schedule","39 - Jimmy Carter"
"12083","Energy Coordinating Committee","39 - Jimmy Carter"
"12086","Equal Employment Opportunity Functions","39 - Jimmy Carter"
"12088","Federal Compliance With Pollution Control Standards","39 - Jimmy Carter"
"12089","National Productivity Council","39 - Jimmy Carter"
"12099","Executive Schedule","39 - Jimmy Carter"
"12103","President's Commission on the Coal Industry","39 - Jimmy Carter"
"12106","Equal Employment Opportunity Enforcement","39 - Jimmy Carter"
"12110","Federal Advisory Committees","39 - Jimmy Carter"
"12129","Critical Energy Facility Program","39 - Jimmy Carter"
"12130","President's Commission on the Accident at Three Mile Island","39 - Jimmy Carter"
"12138","Women's Business Enterprise","39 - Jimmy Carter"
"12140","Gasoline End-User Allocation","39 - Jimmy Carter"
"12142","Alaska Natural Gas Transportation System","39 - Jimmy Carter"
"12143","Maintaining Unofficial Relations with the People on Taiwan","39 - Jimmy Carter"
"12146","Management of Federal Legal Resources","39 - Jimmy Carter"
"12148","Federal Emergency Management","39 - Jimmy Carter"
"12149","Federal Regional Councils","39 - Jimmy Carter"
"12154","Executive Schedule","39 - Jimmy Carter"
"12156","Federal Emergency Management Agency; Department of Energy","39 - Jimmy Carter"
"12160","Federal Consumer Programs","39 - Jimmy Carter"
"12163","Administration of Foreign Assistance and Related Functions","39 - Jimmy Carter"
"12171","Exclusions From the Federal Labor-Management Relations Program","39 - Jimmy Carter"
"12191","Federal Facility Ridesharing Program","39 - Jimmy Carter"
"12192","State Planning Council on Radioactive Waste Management","39 - Jimmy Carter"
"12194","Radiation Policy Council","39 - Jimmy Carter"
"12198","Prescribing Amendments to the Manual for Courts-Martial, United States, 1969 (Revised Edition)","39 - Jimmy Carter"
"12202","Nuclear Safety Oversight Committee","39 - Jimmy Carter"
"12215","Delegation of Panama Canal Functions","39 - Jimmy Carter"
"12220","Agricultural Trade Development","39 - Jimmy Carter"
"12234","Enforcement of the Convention for the Safety of Life at Sea","39 - Jimmy Carter"
"12247","Federal Actions in the Lake Tahoe Region","39 - Jimmy Carter"
"12258","Continuance of Certain Federal Advisory Committees","39 - Jimmy Carter"
"12261","Gasohol in Federal Motor Vehicles","39 - Jimmy Carter"
"12264","Export of Banned or Significantly Restricted Substances","39 - Jimmy Carter"
