"num","year","title","cluster","matchWords","stMatchRatio","word.count","eoMatches","st.flag","link"
"10615","1955","Creating an Emergency Board To Investigate a Dispute Between Certain Carriers Represented by the Eastern, Western, and Southeastern Carriers' Conference Committees and Certain of Their Employees",26,"university",0.00187265917602996,1068,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=106431"
"10693","1956","Creating an Emergency Board To Investigate Disputes Between the Akron & Barberton Belt Railroad and Other Carriers and Certain of Their Employees",26,"university",0.000855431993156544,1169,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=60613"
"11101","1963","Creating an Emergency Board to Investigate Disputes Between the Carriers Represented by the Eastern, Western, and Southwestern Carriers' Conference Committees and Certain of Their Employees",26,"engineering",0.000803858520900322,1244,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=59040"
"13556","2010","Controlled Unclassified Information",27,"nuclear; energy; security; OMB; NIST; budget; DOJ",0.00239234449760766,1254,"13526",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=88676"
"11781","1974","Providing for an Orderly Termination of the Economic Stabilization Program",28,"DOTr; economy; health; education; OMB; USDA; energy",0.000481231953801732,2078,"11615; 11695; 11730; 11588; 11627; 11748; 11723",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=106799"
"11788","1974","Providing for the Orderly Termination of Economic Stabilization Activities",28,"DOTr; health; energy; State; USDA; OMB",0.00131406044678055,1522,"11781; 11615; 11627; 11640; 11695; 11730; 11588; 11748; 11723",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=106803"
"13228","2001","Establishing the Office of Homeland Security and the Homeland Security Council",29,"security; foreign; technolo; health; energy; nuclear; medical; education; OMB; budget; DOTr; DOD; DOJ; HHS; DOT; State; USDA; DOI; DOE; DOL; DOC; VA; EPA",0.00245012250612531,2857,"12958; 12656",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61509"
"10774","1958","Providing for the Protection of the Civil-Service Rights of Federal Personnel Who Transfer to the International Atomic Energy Agency",30,"nuclear; energy",0.00651465798045603,921,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=106301"
"10459","1953","Amendment of Executive Order No. 10422 of January 9, 1953, Prescribing Procedures for Making Available to the Secretary General of the United Nations Certain Information Concerning United States Citizens Employed or Being Considered for Employment on the Secretariat of the United Nations",31,"university; security; State",0.000741839762611276,1348,"10422; 9835; 10450",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=106605"
"13186","2001","Responsibilities of Federal Agencies To Protect Migratory Birds",32,"environment; budget; science/research; USGS; State; DOI; energy; EPA",0.0021953896816685,1822,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61676"
"11945","1976","Physical Fitness and Sports",33,"health; education; medical; science/research; innovation; OMB",0.00738916256157635,406,"11562",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=23671"
"13266","2002","Activities To Promote Personal Fitness",33,"science/research; health; USDA; education; HHS; HUD",0.0015220700152207,657,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61362"
"12630","1988","Governmental Actions and Interference With Constitutionally Protected Property Rights",34,"DOJ; foreign; engineering; health; OMB; budget",0.000924214417744917,2164,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=35554"
"13371","2005","Amendments to Executive Order 13285, Relating to the Presidents Council on Service and Civic Participation",35,"comput; education",0.00238095238095238,420,"13285",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61464"
"11210","1965","Establishing a Temporary Commission on Pennsylvania Avenue",36,"DOI; DOTr; DOL; DOC; DOJ; engineering",0.00105932203389831,944,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=106239"
"12564","1986","Drug-Free Federal Workplace",37,"health; security; education; medical; HHS; science/research; DOJ",0.0013215859030837,2270,"12333; 10450; 12356",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=36416"
"13649","2013","Accelerating Improvements in HIV Prevention and Care in the United States Through the HIV Care Initiative",38,"health; science/research; NIH; technolo; HHS; medical; innovation; DOJ; DOL; HUD; VA; OMB; budget",0.00550314465408805,1272,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=103876"
"13554","2010","Establishing the Gulf Coast Ecosystem Restoration Task Force",39,"economy; health; innovation; science/research; DOD; DOJ; DOI; USDA; DOC; DOT; EPA; OMB; CEQ; OSTP; NOAA; DOL; HHS; energy; security; NSF; environment; budget",0.00530376084860174,2074,"13175",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=88545"
"13626","2012","Gulf Coast Ecosystem Restoration",39,"science/research; DOC; NOAA; DOI; DOJ; EPA; USDA; OMB; budget",0.00244498777506112,1636,"13554; 12777",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=102029"
"12264","1981","Export of Banned or Significantly Restricted Substances",40,"foreign; health; environment; State; medical; DOC; EPA; HHS; CEQ",0.00133734536944166,2991,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=44519"
"12140","1979","Gasoline End-User Allocation",41,"DOE; health",0.00594059405940594,505,"11790; 12038",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=32407"
"12187","1979","Decontrol of Marginal Oil Wells",41,"DOE",0.0075187969924812,266,"11790; 12038",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=31885"
"12209","1980","Decontrol of Marginal Oil Wells",41,"DOE",0.00709219858156028,282,"11790; 12038; 12187",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=33281"
"12287","1981","Decontrol of Crude Oil and Refined Petroleum Products",41,"DOE; energy",0.0164271047227926,487,"11790; 12038",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=43901"
"13544","2010","Establishing the National Prevention, Health Promotion, and Public Health Council",42,"HHS; health; USDA; DOL; DOT; DOEd; DHS; EPA; DOI; innovation; medical; education; science/research; OMB; budget",0.00453857791225416,1322,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=88044"
"9979","1948","Prescribing Portions of the Selective Service Regulations and Authorizing the Director of Selective Service to Perform Certain Functions of the President Under the Selective Service Act of 1948",43,"medical; war; health; foreign",0.00403144527313042,4961,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=59314"
"13636","2013","Improving Critical Infrastructure Cybersecurity",44,"comput; security; environment; innovation; health; DOJ; DHS; DOD; OMB; DOC; NIST; technolo; budget",0.0201037613488975,3084,"13549; 12866; 13563; 13609; 13610",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=103245"
"13196","2001","Final Northwestern Hawaiian Islands Coral Reef Ecosystem Reserve",45,"science/research; DOC",0.000813008130081301,1230,"13178",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61685"
"10657","1956","Transferring to the Housing and Home Finance Administrator Certain Functions of the Atomic Energy Commission Under the Atomic Energy Community Act of 1955",46,"nuclear; energy; AEC",0.00848484848484849,825,"9816",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=106363"
"11105","1963","Transferring to the Housing and Home Finance Administrator Certain Functions of the Atomic Energy Commission Under the Atomic Energy Community Act of 1955",46,"nuclear; energy; AEC",0.00340909090909091,880,"9816; 10657",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=59044"
"13407","2006","Public Alert and Warning System",47,"security; war; DHS; FCC; education; DOC; technolo; DOD; OMB; budget",0.000889679715302491,1124,"12472",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=234"
"10816","1959","Amendment of Executive Order No. 10501 of November 5, 1953, Relating to Safeguarding Official Information in the Interests of the Defense of the United States",48,"security; science/research",0.00574712643678161,348,"10501; 10290",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=60636"
"10901","1961","Amendment of Executive Order 10501, Relating to Safeguarding Official Information in the Interests of the Defense of the United States",48,"security; science/research; OMB; CIA; State; DOTr; DOD; DOJ; DOC; DOL; AEC; foreign; FAA; FCC; NASA; DOI; USDA; health; education; NSF",0.0081799591002045,489,"10501",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=106483"
"11932","1976","Classification of Certain Information and Material Obtained From Advisory Bodies Created to Implement the International Energy Program",48,"energy; foreign; security; State; DOJ",0.0149532710280374,535,"11652",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=59206"
"10309","1951","Restoring Possession, Use, and Control of Certain Lands Reserved for Military Purposes to the Territory of Hawaii and Transferring Title to Such Lands to the Territory",49,"DOD; health; war; DOL; engineering; DOJ",0.00192215281114849,2081,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=78361"
"13158","2000","Marine Protected Areas",50,"environment; science/research; DOC; DOI; DOD; State; DOT; EPA; NSF; NOAA; technolo; war",0.0059445178335535,1514,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61650"
"13446","2007","Continuance of Certain Federal Advisory Committees and Amendments to and Revocation of Other Executive Orders",51,"DOI; DHS; health; DOL; university; DOEd; HHS; science/research; NSF; PCAST; OSTP; DOC; security; environment; DOJ; HUD; DOT; education; technolo",0.0052199850857569,1341,"11145; 13231; 12196; 13256; 13270; 11183; 12994; 12367; 12216; 11287; 13226; 13237; 13265; 12131; 12382; 12905; 13369; 13379; 13386; 13385",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=75841"
"13571","2011","Streamlining Service Delivery and Improving Customer Service",52,"technolo; comput; OMB; innovation; OSTP; security; budget",0.00864864864864865,925,"12862",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=90306"
"12781","1991","Delegation of Functions and Authorities, Development of Requirements and Regulations, and Correction of Title",53,"foreign; DOTr; DOJ; DOD; technolo; science/research",0.00275862068965517,725,"9561; 11339",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=20251"
"11318","1966","Designating the European Space Research Organization as a Public International Organization Entitled to Enjoy Privileges, Exemptions, and Immunities",54,"science/research; foreign; health",0.00252206809583859,793,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=105777"
"13263","2002","Presidents New Freedom Commission on Mental Health",55,"health; HHS; DOL; education; innovation; technolo; science/research",0.0044296788482835,903,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61359"
"13521","2009","Establishing the Presidential Commission for the Study of Bioethical Issues",55,"HHS; medical; science/research; technolo; health; innovation; engineering; OMB; budget",0.028391167192429,951,"13237",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=86944"
"13272","2002","Proper Consideration of Small Entities in Agency Rulemaking",56,"OMB; comput; science/research",0.00240096038415366,833,"12866",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61368"
"13313","2003","Delegation of Certain Congressional Reporting Functions",57,"State; nuclear; security; DOTr; foreign; DOD; DOC; OMB; budget",0.00223713646532438,1788,"12938; 12543; 13219; 13159; 13047; 12947; 12170; 12957; 12978; 13224; 13194; 13067; 12722; 13303; 13288; 13222",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61408"
"11120","1963","Amendment of Executive Order No. 10152, Relating to Incentive Pay for Hazardous Duty, Executive Order No. 10168, Relating to Pay for Sea Duty and Duty at Certain Places, and Executive Order No. 10204, Relating to Basic Allowances for Quarters",58,"DOD; nuclear; science/research; medical; DOTr",0.002601908065915,1153,"10152; 10168; 10204",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=59059"
"10053","1949","Regulations Governing the Transportation of Household Goods of Members of the Air Force, Army, Navy, Marine Corps, Coast Guard, Coast and Geoectic Survey, and Public Health Service",59,"health; war; comput; medical; foreign; education",0.000520407404653929,13451,"9956",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=78245"
