"title","year","president","st.flag","matchWords","word.count","stMatchRatio","eoMatches.out","eoMatches.in","link"
"Providing for the Restoration of Certain Lands to Kaakaukukui, Honolulu, Hawaii, to the Jurisdiction of the Territory of Hawaii and Transfer of Title Thereto to the Territory","1955","34-Eisenhower",FALSE,"__DOD__; __GSA__",909,0,"10309","","http://www.presidency.ucsb.edu/ws/index.php?pid=106400"
"Amending Subdivision Vii of Schedule a of the Civil Service Rules","1945","33-Truman",FALSE,"",69,0,"","9830","http://www.presidency.ucsb.edu/ws/index.php?pid=77938"
"Suspension of the Eight-Hour Law as to Laborers and Mechanics Employed by the Departments of the Army and the Air Force on Certain Public Works","1947","33-Truman",FALSE,"__DOD__",473,0,"","10064; 10135; 10251; 9926; 9974","http://www.presidency.ucsb.edu/ws/index.php?pid=78143"
"Establishing the Council for Rural Affairs","1969","37-Nixon",FALSE,"__economy__; __USDA__; __DOI__; __DOC__; __health__; __education__; __HUD__; __DOL__; __OMB__",583,0,"","11541; 12553","http://www.presidency.ucsb.edu/ws/index.php?pid=60480"
"Further Amendment to Executive Order No. 11755","1994","42-Clinton",FALSE,"__DOJ__",204,0,"11755","","http://www.presidency.ucsb.edu/ws/index.php?pid=49588"
"Export Administration Act of 1969","1977","39-Carter",FALSE,"__foreign__; __State__; __DOC__; __DOD__; __security__; __economy__",772,0,"11533; 11846; 11683; 11798; 11818; 11907; 11940","12214; 12444; 12451; 12470; 12525; 12730; 12755; 12867; 12923; 12924; 12981; 13206; 13222; 13286","http://www.presidency.ucsb.edu/ws/index.php?pid=7765"
"Placing an Additional Position in Level V of the Federal Executive Salary Schedule","1968","36-Johnson",FALSE,"__economy__; __DOC__",87,0,"11248","","http://www.presidency.ucsb.edu/ws/index.php?pid=106175"
"Calling Into Service Members and Units of the National Guard","1970","37-Nixon",FALSE,"__DOD__",489,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=105858"
"Restoring Certain Lands to the Jurisdiction of the Territory of Hawaii","1948","33-Truman",FALSE,"",311,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=78205"
"Administration of the Housing and Rent Act of 1947, as Amended","1953","34-Eisenhower",FALSE,"__economy__; __DOD__",425,0,"10276; 10293; 10456","10773","http://www.presidency.ucsb.edu/ws/index.php?pid=106585"
"Inspection of Income, Excess-Profits, Estate, and Gift Tax Returns by the Committee on Un-American Activities, House of Representatives","1963","35-Kennedy",FALSE,"__DOTr__",198,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=59048"
"Making Certain Time Limitations Imposed By Executive Order No. 4601 of March 1, 1927, Prescribing Regulations Pertaining to the Award of the Distinguished Flying Cross, Inapplicable to Certain Cases","1945","33-Truman",FALSE,"__war__",161,0,"","10189","http://www.presidency.ucsb.edu/ws/index.php?pid=77935"
"Creating an Emergency Board to Investigate Dispute Between the Toledo, Lorain & Fairport Dock Company and Certain of Its Employees","1950","33-Truman",FALSE,"",239,0,"","12553","http://www.presidency.ucsb.edu/ws/index.php?pid=78314"
"Designating Officials to Act as Commissioner of the District of Columbia","1967","36-Johnson",FALSE,"",133,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=106109"
"National Security Medal","1953","33-Truman",FALSE,"__security__; __NSC__; __DOD__",572,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=58849"
"Providing for the Establishment of a National Defense Executive Reserve","1956","34-Eisenhower",FALSE,"__economy__",385,0,"","10773; 11051; 11179","http://www.presidency.ucsb.edu/ws/index.php?pid=106365"
"Authorizing Award of the Bronze Star Medal","1962","35-Kennedy",FALSE,"__DOTr__; __foreign__; __DOD__",410,0,"","11382; 13286","http://www.presidency.ucsb.edu/ws/index.php?pid=58985"
"Creating an Emergency Board To Investigate a Dispute Between the Capital Airlines, Inc., National Airlines, Inc., Northwest Airlines, Inc., Trans World Airlines, Inc., United Airlines, Inc., Eastern Airlines, Inc., and Certain of Their Employees","1954","34-Eisenhower",FALSE,"",248,0,"","12553","http://www.presidency.ucsb.edu/ws/index.php?pid=106469"
"Regulations Relating to the Safeguarding of Vessels, Harbors, Ports, and Waterfront Facilities of the United States","1950","33-Truman",FALSE,"__security__; __DOL__",1933,0,"","10277; 10352; 11249; 13143; 13273","http://www.presidency.ucsb.edu/ws/index.php?pid=60775"
