"","t.1","t.2","t.3","t.4","t.5","t.6","t.7","t.8","t.9","t.10","t.11","t.12","t.13","t.14","t.15","t.16","t.17","t.18","t.19","t.20","t.21","t.22","t.23","t.24","t.25","t.26","t.27","t.28","t.29","t.30","t.31","t.32","t.33","t.34","t.35","t.36","t.37","t.38","t.39","t.40","t.41","t.42","t.43","t.44","t.45","t.46","t.47","t.48","t.49","t.50","t.51","t.52","t.53","t.54","t.55","t.56","t.57","t.58","t.59","t.60","t.61","t.62","t.63","t.64","t.65","t.66","t.67","t.68","t.69","t.70","t.71","t.72","t.73","t.74","t.75","t.76","t.77","t.78","t.79","t.80"
"11834",0,0,0,0,0,0,0,0,0,0,0,0,0,0.337348163748214,0.156626578603046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156626578603046,0,0,0,0,0,0,0.0722898388686347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963860502213237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180722789955735,0,0,0,0
"12821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403182861344444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251989387809668,0,0,0,0,0,0.124668567990909,0.220159182854978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195652292060235,0,0,0,0,0,0,0,0,0,0.163043667296375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434782206995202,0,0,0,0,0,0,0,0,0,0.206521833648188,0
"12677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769722535358719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159914823082203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703626415590779,0,0,0,0,0,0,0,0,0,0,0
"12193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189190869238545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810809130761455,0,0,0
"12670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226980747768096,0,0,0,0,0,0,0,0,0,0,0.29336184722754,0.421841394568399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578160104359654,0,0,0,0,0,0,0,0,0,0,0,0,0
"11726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0915036823433141,0,0,0,0,0,0.516339172969483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130719266093422,0,0,0,0,0,0,0.261437878593781,0,0,0,0
"12231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297296785980692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135136376904033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405403725365131,0,0,0.162163111750143,0
"12295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232559383444728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767440616555272,0,0,0
"12218",0,0,0,0,0,0,0,0.549998375012187,0,0,0,0,0,0,0,0,0.225000812493906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225000812493906,0,0,0
"13113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333332950193332,0,0,0,0,0,0.103448949660002,0,0,0,0,0,0,0,0,0,0.356321350246666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2068967499,0,0,0,0,0,0,0,0,0,0,0,0,0
"11477",0,0,0,0,0,0,0,0.12500117185669,0,0,0,0,0,0,0.156250683583069,0.156250683583069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218749707035828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343747753941345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164557186346922,0,0,0.0632920044809843,0,0,0,0,0,0,0.607592357010399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0759501522142265,0,0,0,0,0,0,0,0,0.0886082999474687,0,0,0,0
"12156",0,0,0,0,0,0,0,0.387753977518551,0,0,0,0,0,0.142858017485572,0,0,0.204082007493816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265305997502061,0,0,0,0,0,0,0,0,0,0,0,0,0
"12409",0,0,0,0,0,0,0,0.162791887498459,0,0,0,0,0,0,0,0,0.186047539203215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651160573298326,0,0,0
"13103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0604231533115046,0,0,0,0,0,0.407854547695684,0,0,0,0,0,0,0,0,0,0,0.117824861948891,0,0,0,0,0,0,0.0785500086706791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274924275061737,0.0604231533115046
"13134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101108073717934,0,0,0,0,0,0,0,0,0.153739601637505,0,0.114958475802032,0,0.0761773499665582,0,0,0,0,0.166204963513193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0941828726758852,0,0.293628662686892,0,0,0,0
"12463",0,0,0,0,0,0,0,0.0697692806794371,0,0,0,0,0,0,0,0,0.0930249323841927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83720578693637,0,0,0
"12506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116280854507653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883719145492347,0,0,0
"12554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170733313496032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829266686503968,0,0,0
"12587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186047971869898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813952028130102,0,0,0
"13305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342104293639014,0,0,0,0,0,0.157895706360986,0,0,0,0,0,0,0,0,0,0.236842243765855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263157756234145,0,0,0,0,0,0,0,0,0,0,0,0,0
"11933",0,0,0,0.106667146662827,0,0,0,0,0,0,0,0,0,0,0,0,0.239999413338027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933339199953067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333332000010667,0,0,0,0.0800006933277867,0,0,0,0,0,0,0,0.146666826665387,0,0,0,0
