"num","title","link","year","word.count","president","party","eoMatches","matchWords","st.flag","matchWords.num","stMatch.count","stMatchRatio","PropSTtopic"
"12821","Improving Mathematics and Science Education in Support of the National Education Goals","http://www.presidency.ucsb.edu/ws/index.php?pid=23639","1992",1005,"41-George H. W. Bush","R","","__math__; __science/research__; __education__; __technology__; __innovation__; __engineering__; __university__; __NSF__; __DOEd__; __DOE__; __budget__; __DOD__; __energy__; __HHS__; __NASA__; __computing__",TRUE,16,46,0.045771144278607,0.251989387809668
"11381","Amending Executive Order No. 10807 of March 13, 1959, Relating to the Federal Council for Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=60556","1967",213,"36-Lyndon B. Johnson","D","10807","__science/research__; __technology__; __USDA__; __DOC__; __DOD__; __health__; __education__; __HUD__; __DOI__; __State__; __DOT__; __AEC__; __NASA__; __NSF__; __OMB__",TRUE,15,10,0.0469483568075117,0.245614496765807
"10793","Transferring Certain Functions From the Department of Defense to the National Aeronautics and Space Administration","http://www.presidency.ucsb.edu/ws/index.php?pid=59269","1958",355,"34-Dwight D. Eisenhower","R","","__DOD__; __NASA__; __budget__; __technology__; __science/research__; __engineering__; __DOTr__",TRUE,7,11,0.0309859154929577,0.245282805269786
"13305","Extension of the Presidents Information Technology Advisory Committee and the Presidents Council of Advisors on Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=61400","2003",175,"43-George W. Bush","R","13035; 13226","__technology__; __PCAST__; __computing__; __science/research__",TRUE,4,7,0.04,0.236842243765855
"11915","Abolishing the Energy Research and Development Advisory Council","http://www.presidency.ucsb.edu/ws/index.php?pid=23655","1976",67,"38-Gerald R. Ford","R","11827","__energy__; __science/research__",TRUE,2,4,0.0597014925373134,0.235295847720334
"11287","Award and Presentation of the National Medal of Science","http://www.presidency.ucsb.edu/ws/index.php?pid=59158","1966",1365,"36-Lyndon B. Johnson","D","10910; 10961","__science/research__; __math__; __engineering__; __NSF__; __university__; __DOC__; __technology__; __medical__",TRUE,8,35,0.0256410256410256,0.21804503552125
"13092","President's Information Technology Advisory Committee, Amendments to Executive Order 13035","http://www.presidency.ucsb.edu/ws/index.php?pid=56356","1998",170,"42-William J. Clinton","D","13035","__technology__; __computing__",TRUE,2,9,0.0529411764705882,0.21052622345418
"12881","Establishment of the National Science and Technology Council","http://www.presidency.ucsb.edu/ws/index.php?pid=61574","1993",583,"42-William J. Clinton","D","","__NSTC__; __DOC__; __DOD__; __DOE__; __HHS__; __State__; __DOI__; __NASA__; __NSF__; __OMB__; __EPA__; __science/research__; __technology__; __security__; __economy__; __budget__; __engineering__",TRUE,17,27,0.0463121783876501,0.209090983470939
"13326","Presidents Commission on Implementation of United States Space Exploration Policy","http://www.presidency.ucsb.edu/ws/index.php?pid=61421","2004",701,"43-George W. Bush","R","12958","__science/research__; __budget__; __technology__; __math__; __engineering__; __NASA__",TRUE,6,12,0.0171184022824536,0.208888961975179
"13137","Further Amendment to Executive Order 12975, as Amended, National Bioethics Advisory Commission","http://www.presidency.ucsb.edu/ws/index.php?pid=56517","1999",367,"42-William J. Clinton","D","12975","__HHS__; __science/research__; __medical__; __health__",TRUE,4,5,0.0136239782016349,0.20201998775765
"10961","Providing Procedures for the Award of the National Medal of Science","http://www.presidency.ucsb.edu/ws/index.php?pid=58899","1961",698,"35-John F. Kennedy","D","10910","__science/research__; __math__; __engineering__; __NSF__",TRUE,4,17,0.0243553008595989,0.197368340258754
"11862","Amending Executive Order No. 11652 Relating to Classification and Declassification of National Security Information and Material","http://www.presidency.ucsb.edu/ws/index.php?pid=23933","1975",170,"38-Gerald R. Ford","R","11652","__security__; __energy__; __AEC__; __science/research__; __NRC__",TRUE,5,11,0.0647058823529412,0.19672101585886
"13329","Encouraging Innovation in Manufacturing","http://www.presidency.ucsb.edu/ws/index.php?pid=61424","2004",601,"43-George W. Bush","R","12958","__innovation__; __technology__; __economy__; __science/research__; __OSTP__; __OMB__; __budget__",TRUE,7,17,0.0282861896838602,0.192118340653516
"12661","Implementing the Omnibus Trade and Competitiveness Act of 1988 and Related International Trade Matters","http://www.presidency.ucsb.edu/ws/index.php?pid=35298","1988",2879,"40-Ronald Reagan","R","11858; 12291","__economy__; __foreign__; __security__; __DOC__; __energy__; __DOJ__; __OMB__; __DOTr__; __DOD__; __technology__; __State__; __OSTP__; __budget__; __science/research__; __DOE__; __NSF__; __NASA__; __engineering__; __NIST__; __DOT__; __university__",TRUE,21,49,0.0170197985411601,0.186249985312511
"12956","Israel-United States Binational Industrial Research and Development Foundation","http://www.presidency.ucsb.edu/ws/index.php?pid=51096","1995",152,"42-William J. Clinton","D","","__science/research__",TRUE,1,3,0.0197368421052632,0.180328621334649
"10870","Designating the Facilities of the National Aeronautics and Space Administration at Huntsville, Alabama, as the George C. Marshall Space Flight Center","http://www.presidency.ucsb.edu/ws/index.php?pid=59285","1960",161,"34-Dwight D. Eisenhower","R","","__NASA__; __science/research__",TRUE,2,4,0.0248447204968944,0.17999912001408
"9568","Providing for the Release of Scientific Information","http://www.presidency.ucsb.edu/ws/index.php?pid=60663","1945",891,"33-Harry S. Truman","D","","__science/research__; __security__; __war__; __DOD__; __State__; __foreign__; __DOJ__; __DOI__; __USDA__; __DOC__; __DOL__",TRUE,11,15,0.0168350168350168,0.176291722175667
"12700","President's Council of Advisors on Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=23546","1990",441,"41-George H. W. Bush","R","","__PCAST__; __science/research__; __technology__; __OSTP__",TRUE,4,13,0.0294784580498866,0.17532498313315
"10910","Providing for the Design and Award of the National Medal of Science","http://www.presidency.ucsb.edu/ws/index.php?pid=59290","1961",470,"34-Dwight D. Eisenhower","R","","__science/research__; __math__; __engineering__; __NSF__",TRUE,4,11,0.0234042553191489,0.170212871585562
"9865","Providing for the Protection Abroad of Inventions Resulting from Research Financed by the Government","http://www.presidency.ucsb.edu/ws/index.php?pid=59309","1947",699,"33-Harry S. Truman","D","9568; 9604; 9809","__science/research__; __foreign__; __DOC__; __health__; __State__; __economy__; __AEC__; __security__",TRUE,8,7,0.0100143061516452,0.167630151357944
"11882","Membership of Energy Research and Development Administration on Established River Basin Commissions","http://www.presidency.ucsb.edu/ws/index.php?pid=23948","1975",217,"38-Gerald R. Ford","R","11345; 11371; 11578; 11658; 11659","__energy__; __science/research__; __DOT__; __AEC__",TRUE,4,9,0.0414746543778802,0.164557186346922
"13035","Advisory Committee on High-Performance Computing and Communications, Information Technology, and the Next Generation Internet","http://www.presidency.ucsb.edu/ws/index.php?pid=53602","1997",515,"42-William J. Clinton","D","","__computing__; __technology__; __science/research__; __education__; __NSTC__; __OSTP__; __DOD__",TRUE,7,23,0.0446601941747573,0.163043667296375
"12806","Establishment of a Fetal Tissue Bank","http://www.presidency.ucsb.edu/ws/index.php?pid=23740","1992",229,"41-George H. W. Bush","R","","__science/research__; __HHS__; __medical__",TRUE,3,3,0.0131004366812227,0.160000053332907
"11834","Activation of the Energy Research and Development Administration and the Nuclear Regulatory Commission","http://www.presidency.ucsb.edu/ws/index.php?pid=23912","1975",284,"38-Gerald R. Ford","R","11814","__energy__; __science/research__; __NRC__; __OMB__; __DOI__",TRUE,5,13,0.0457746478873239,0.156626578603046
"11760","Designating the European Space Research Organization (ESRO) as a Public International Organization Entitled to Enjoy Certain Privileges, Exemptions, and Immunities","http://www.presidency.ucsb.edu/ws/index.php?pid=106783","1974",103,"37-Richard Nixon","R","11318; 11351","__science/research__",TRUE,1,2,0.0194174757281553,0.153847534506145
"11911","Preservation of Endangered Species","http://www.presidency.ucsb.edu/ws/index.php?pid=60470","1976",596,"38-Gerald R. Ford","R","","__DOI__; __science/research__; __USDA__; __DOC__; __health__; __education__; __NSF__; __CEQ__; __DOTr__; __State__",TRUE,10,9,0.0151006711409396,0.150259196219699
"12768","Extension of the President's Council of Advisors on Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=23607","1991",71,"41-George H. W. Bush","R","12700","__PCAST__",TRUE,1,2,0.028169014084507,0.142860203994172
"10831","Establishing the Federal Radiation Council","http://www.presidency.ucsb.edu/ws/index.php?pid=106519","1959",334,"34-Dwight D. Eisenhower","R","","__DOD__; __DOC__; __health__; __education__; __AEC__; __science/research__; __technology__",TRUE,7,3,0.00898203592814371,0.141593429397975
"13100","President's Council on Food Safety","http://www.presidency.ucsb.edu/ws/index.php?pid=54817","1998",767,"42-William J. Clinton","D","","__science/research__; __education__; __USDA__; __HHS__; __OMB__; __EPA__; __technology__; __OSTP__; __health__; __budget__; __NSTC__",TRUE,11,17,0.0221642764015645,0.138728372147332
