"num","title","link","year","word.count","president","party","matchWords","st.flag","stMatchRatio"
"11819","Membership of the Energy Resources Council","http://www.presidency.ucsb.edu/ws/index.php?pid=23903","1974",227,"38-Gerald R. Ford","R","__energy__; __DOI__; __economy__; __State__; __DOTr__; __DOD__; __DOJ__; __DOC__; __DOT__; __AEC__; __OMB__; __ERDA__; __EPA__; __CEQ__; __NSF__; __GSA__",TRUE,0.026431718061674
"11930","Performance by the Federal Energy Office of Energy Functions of the Federal Energy Administration","http://www.presidency.ucsb.edu/ws/index.php?pid=23677","1976",1368,"38-Gerald R. Ford","R","__energy__; __environment__; __budget__; __foreign__; __DOC__; __economy__; __EPA__; __GSA__",TRUE,0.0263157894736842
"11287","Award and Presentation of the National Medal of Science","http://www.presidency.ucsb.edu/ws/index.php?pid=59158","1966",1365,"36-Lyndon B. Johnson","D","__science/research__; __math__; __engineering__; __NSF__; __university__; __DOC__; __technology__; __medical__",TRUE,0.0256410256410256
"10870","Designating the Facilities of the National Aeronautics and Space Administration at Huntsville, Alabama, as the George C. Marshall Space Flight Center","http://www.presidency.ucsb.edu/ws/index.php?pid=59285","1960",161,"34-Dwight D. Eisenhower","R","__NASA__; __science/research__",TRUE,0.0248447204968944
"12759","Federal Energy Management","http://www.presidency.ucsb.edu/ws/index.php?pid=23598","1991",1252,"41-George H. W. Bush","R","__energy__; __DOD__; __DOTr__; __DOJ__; __GSA__; __DOE__; __budget__",TRUE,0.0247603833865815
"12083","Energy Coordinating Committee","http://www.presidency.ucsb.edu/ws/index.php?pid=29859","1978",529,"39-Jimmy Carter","D","__energy__; __DOE__; __State__; __DOTr__; __DOD__; __DOJ__; __DOI__; __USDA__; __DOC__; __DOL__; __health__; __education__; __HUD__; __DOT__; __OMB__; __economy__; __CEQ__; __EPA__; __OSTP__; __GSA__; __NSF__; __security__; __NRC__",TRUE,0.0245746691871456
"13111","Using Technology To Improve Training Opportunities for Federal Government Employees","http://www.presidency.ucsb.edu/ws/index.php?pid=57256","1999",2325,"42-William J. Clinton","D","__technology__; __education__; __State__; __HHS__; __HUD__; __energy__; __GSA__; __EPA__; __security__; __DOL__; __economy__; __science/research__; __university__; __innovation__; __DOD__; __NIST__; __computing__; __OMB__; __budget__",TRUE,0.0245161290322581
"10961","Providing Procedures for the Award of the National Medal of Science","http://www.presidency.ucsb.edu/ws/index.php?pid=58899","1961",698,"35-John F. Kennedy","D","__science/research__; __math__; __engineering__; __NSF__",TRUE,0.0243553008595989
"11775","Abolishing the Energy Policy Office","http://www.presidency.ucsb.edu/ws/index.php?pid=106795","1974",412,"37-Richard Nixon","R","__energy__; __State__; __DOJ__; __economy__; __EPA__; __OMB__; __budget__; __GSA__",TRUE,0.0242718446601942
"13212","Actions To Expedite Energy-Related Projects","http://www.presidency.ucsb.edu/ws/index.php?pid=61493","2001",454,"43-George W. Bush","R","__energy__; __environment__; __health__; __State__; __HUD__; __education__; __HHS__; __EPA__; __CIA__; __GSA__; __OMB__; __economy__; __CEQ__; __DOE__",TRUE,0.0242290748898678
